"Rate";"True_Value";"Posterior_fitted_Value"
"Sub-adult recruitment";"0.159381331306833";"0.1452"
"Fledgling recruitment";"0.685062755533333";"0.7011"
"Adult survival";"0.985408128";"0.9845"
"Fecundity";"0.487024765333333";"0.4802"
"Sub-adult survival";"0.840618671";"0.8618"
"Sub-adult recruitment";"0.159381331306833";"0.1382"
"Fledgling recruitment";"0.685062755533333";"0.7858"
"Adult survival";"0.985408128";"0.9798"
"Fecundity";"0.487024765333333";"0.4775"
"Sub-adult survival";"0.840618671";"0.8491"
"Sub-adult recruitment";"0.159381331306833";"0.1509"
"Fledgling recruitment";"0.685062755533333";"0.5787"
"Adult survival";"0.985408128";"0.9841"
"Fecundity";"0.487024765333333";"0.5099"
"Sub-adult survival";"0.840618671";"0.8418"
"Sub-adult recruitment";"0.159381331306833";"0.1582"
"Fledgling recruitment";"0.685062755533333";"0.6551"
"Adult survival";"0.985408128";"0.9854"
"Fecundity";"0.487024765333333";"0.4840"
"Sub-adult survival";"0.840618671";"0.8710"
"Sub-adult recruitment";"0.159381331306833";"0.1290"
"Fledgling recruitment";"0.685062755533333";"0.7085"
"Adult survival";"0.985408128";"0.9763"
"Fecundity";"0.487024765333333";"0.5018"
"Sub-adult survival";"0.840618671";"0.8443"
"Sub-adult recruitment";"0.159381331306833";"0.1557"
"Fledgling recruitment";"0.685062755533333";"0.6483"
"Adult survival";"0.985408128";"0.9834"
"Fecundity";"0.487024765333333";"0.4951"
"Sub-adult survival";"0.840618671";"0.8526"
"Sub-adult recruitment";"0.159381331306833";"0.1474"
"Fledgling recruitment";"0.685062755533333";"0.7096"
"Adult survival";"0.985408128";"0.9755"
"Fecundity";"0.487024765333333";"0.4909"
"Sub-adult survival";"0.840618671";"0.8325"
"Sub-adult recruitment";"0.159381331306833";"0.1675"
"Fledgling recruitment";"0.685062755533333";"0.6916"
"Adult survival";"0.985408128";"0.9863"
"Fecundity";"0.487024765333333";"0.5069"
"Sub-adult survival";"0.840618671";"0.7689"
"Sub-adult recruitment";"0.159381331306833";"0.2311"
"Fledgling recruitment";"0.685062755533333";"0.7560"
"Adult survival";"0.985408128";"0.9866"
"Fecundity";"0.487024765333333";"0.5225"
"Sub-adult survival";"0.840618671";"0.6149"
"Sub-adult recruitment";"0.159381331306833";"0.3851"
"Fledgling recruitment";"0.685062755533333";"0.7946"
"Adult survival";"0.985408128";"0.9937"
"Fecundity";"0.487024765333333";"0.4976"
"Sub-adult survival";"0.840618671";"0.8474"
"Sub-adult recruitment";"0.159381331306833";"0.1526"
"Fledgling recruitment";"0.685062755533333";"0.6554"
"Adult survival";"0.985408128";"0.9867"
"Fecundity";"0.487024765333333";"0.4921"
"Sub-adult survival";"0.840618671";"0.8683"
"Sub-adult recruitment";"0.159381331306833";"0.1317"
"Fledgling recruitment";"0.685062755533333";"0.6391"
"Adult survival";"0.985408128";"0.9675"
"Fecundity";"0.487024765333333";"0.5349"
"Sub-adult survival";"0.840618671";"0.5951"
"Sub-adult recruitment";"0.159381331306833";"0.4049"
"Fledgling recruitment";"0.685062755533333";"0.7098"
"Adult survival";"0.985408128";"0.9946"
"Fecundity";"0.487024765333333";"0.4804"
"Sub-adult survival";"0.840618671";"0.8621"
"Sub-adult recruitment";"0.159381331306833";"0.1379"
"Fledgling recruitment";"0.685062755533333";"0.7468"
"Adult survival";"0.985408128";"0.9791"
"Fecundity";"0.487024765333333";"0.4908"
"Sub-adult survival";"0.840618671";"0.8695"
"Sub-adult recruitment";"0.159381331306833";"0.1305"
"Fledgling recruitment";"0.685062755533333";"0.7667"
"Adult survival";"0.985408128";"0.9794"
"Fecundity";"0.487024765333333";"0.4914"
"Sub-adult survival";"0.840618671";"0.8433"
"Sub-adult recruitment";"0.159381331306833";"0.1567"
"Fledgling recruitment";"0.685062755533333";"0.7729"
"Adult survival";"0.985408128";"0.9871"
"Fecundity";"0.487024765333333";"0.4851"
"Sub-adult survival";"0.840618671";"0.8421"
"Sub-adult recruitment";"0.159381331306833";"0.1579"
"Fledgling recruitment";"0.685062755533333";"0.5994"
"Adult survival";"0.985408128";"0.9844"
