"Rate";"True_Value";"Posterior_fitted_Value"
"Adult survival";"0.992352469";"0.9925"
"Fecundity";"0.629042651666667";"0.5863"
"Sub-adult survival";"0.682880517333333";"0.6928"
"Sub-adult recruitment";"0.3171194821";"0.3072"
"Fledgling recruitment";"0.451523383";"0.4189"
"Adult survival";"0.992352469";"0.9929"
"Fecundity";"0.629042651666667";"0.6008"
"Sub-adult survival";"0.682880517333333";"0.7152"
"Sub-adult recruitment";"0.3171194821";"0.2848"
"Fledgling recruitment";"0.451523383";"0.7579"
"Adult survival";"0.992352469";"0.9887"
"Fecundity";"0.629042651666667";"0.6247"
"Sub-adult survival";"0.682880517333333";"0.6605"
"Sub-adult recruitment";"0.3171194821";"0.3395"
"Fledgling recruitment";"0.451523383";"0.7391"
"Adult survival";"0.992352469";"0.9909"
"Fecundity";"0.629042651666667";"0.6463"
"Sub-adult survival";"0.682880517333333";"0.6944"
"Sub-adult recruitment";"0.3171194821";"0.3056"
"Fledgling recruitment";"0.451523383";"0.4817"
"Adult survival";"0.992352469";"0.9908"
"Fecundity";"0.629042651666667";"0.6367"
"Sub-adult survival";"0.682880517333333";"0.6454"
"Sub-adult recruitment";"0.3171194821";"0.3546"
"Fledgling recruitment";"0.451523383";"0.4176"
"Adult survival";"0.992352469";"0.9916"
"Fecundity";"0.629042651666667";"0.6152"
"Sub-adult survival";"0.682880517333333";"0.6271"
"Sub-adult recruitment";"0.3171194821";"0.3729"
"Fledgling recruitment";"0.451523383";"0.3711"
"Adult survival";"0.992352469";"0.9941"
"Fecundity";"0.629042651666667";"0.6399"
"Sub-adult survival";"0.682880517333333";"0.6239"
"Sub-adult recruitment";"0.3171194821";"0.3761"
"Fledgling recruitment";"0.451523383";"0.4362"
"Adult survival";"0.992352469";"0.9917"
"Fecundity";"0.629042651666667";"0.6155"
"Sub-adult survival";"0.682880517333333";"0.6175"
"Sub-adult recruitment";"0.3171194821";"0.3825"
"Fledgling recruitment";"0.451523383";"0.3863"
"Adult survival";"0.992352469";"0.9931"
"Fecundity";"0.629042651666667";"0.6035"
"Sub-adult survival";"0.682880517333333";"0.6778"
"Sub-adult recruitment";"0.3171194821";"0.3222"
"Fledgling recruitment";"0.451523383";"0.5685"
"Adult survival";"0.992352469";"0.9927"
"Fecundity";"0.629042651666667";"0.6234"
"Sub-adult survival";"0.682880517333333";"0.7347"
"Sub-adult recruitment";"0.3171194821";"0.2653"
"Fledgling recruitment";"0.451523383";"0.4491"
"Adult survival";"0.992352469";"0.9910"
"Fecundity";"0.629042651666667";"0.6771"
"Sub-adult survival";"0.682880517333333";"0.7250"
"Sub-adult recruitment";"0.3171194821";"0.2750"
"Fledgling recruitment";"0.451523383";"0.4549"
"Adult survival";"0.992352469";"0.9894"
"Fecundity";"0.629042651666667";"0.6323"
"Sub-adult survival";"0.682880517333333";"0.6979"
"Sub-adult recruitment";"0.3171194821";"0.3021"
"Fledgling recruitment";"0.451523383";"0.5640"
"Adult survival";"0.992352469";"0.9899"
"Fecundity";"0.629042651666667";"0.5859"
"Sub-adult survival";"0.682880517333333";"0.7186"
"Sub-adult recruitment";"0.3171194821";"0.2814"
"Fledgling recruitment";"0.451523383";"0.5064"
"Adult survival";"0.992352469";"0.9914"
"Fecundity";"0.629042651666667";"0.6052"
"Sub-adult survival";"0.682880517333333";"0.7976"
"Sub-adult recruitment";"0.3171194821";"0.2024"
"Fledgling recruitment";"0.451523383";"0.5318"
"Adult survival";"0.992352469";"0.9912"
"Fecundity";"0.629042651666667";"0.6249"
"Sub-adult survival";"0.682880517333333";"0.7162"
"Sub-adult recruitment";"0.3171194821";"0.2838"
"Fledgling recruitment";"0.451523383";"0.5058"
"Adult survival";"0.992352469";"0.9922"
