"Rate";"True_Value";"Posterior_fitted_Value"
"Sub-adult survival";"0.855856088333333";"0.8563"
"Sub-adult recruitment";"0.144143910724267";"0.1437"
"Fledgling recruitment";"0.719588022333333";"0.6900"
"Adult survival";"0.991120044333333";"0.9892"
"Fecundity";"0.465305814";"0.4692"
"Sub-adult survival";"0.855856088333333";"0.8423"
"Sub-adult recruitment";"0.144143910724267";"0.1577"
"Fledgling recruitment";"0.719588022333333";"0.6863"
"Adult survival";"0.991120044333333";"0.9887"
"Fecundity";"0.465305814";"0.4720"
"Sub-adult survival";"0.855856088333333";"0.8450"
"Sub-adult recruitment";"0.144143910724267";"0.1550"
"Fledgling recruitment";"0.719588022333333";"0.7247"
"Adult survival";"0.991120044333333";"0.9900"
